label,total_appearances,dominant_class,dominant_pct,buildings,buildings_pct,forest,forest_pct,glacier,glacier_pct,mountain,mountain_pct,sea,sea_pct,street,street_pct
hand-held computer,2,buildings,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
remote control,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
radio,5,buildings,100.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tape player,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
notebook,3,buildings,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dishwasher,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
oil filter,2,buildings,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
desktop computer,3,buildings,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
scale,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
carpenter's kit,4,buildings,100.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
digital watch,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
medicine chest,4,buildings,100.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamper,6,buildings,100.0,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
can opener,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
loudspeaker,2,buildings,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
projector,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
switch,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ocarina,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
perfume,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
space bar,1,buildings,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
space heater,13,buildings,92.31,12,92.31,0,0.0,0,0.0,0,0.0,0,0.0,1,7.69
electric fan,9,buildings,88.89,8,88.89,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11
bookcase,13,buildings,84.62,11,84.62,0,0.0,0,0.0,0,0.0,0,0.0,2,15.38
library,212,buildings,81.6,173,81.6,0,0.0,0,0.0,0,0.0,2,0.94,37,17.45
dome,144,buildings,81.25,117,81.25,1,0.69,0,0.0,0,0.0,5,3.47,21,14.58
analog clock,13,buildings,76.92,10,76.92,0,0.0,0,0.0,0,0.0,1,7.69,2,15.38
tile roof,60,buildings,76.67,46,76.67,4,6.67,2,3.33,2,3.33,0,0.0,6,10.0
wall clock,4,buildings,75.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0
crate,28,buildings,75.0,21,75.0,0,0.0,1,3.57,1,3.57,0,0.0,5,17.86
binder,4,buildings,75.0,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
palace,734,buildings,74.93,550,74.93,1,0.14,0,0.0,5,0.68,11,1.5,167,22.75
