thesis_class,model_name,top1_label,count
buildings,mobilenetv2,palace,85
buildings,mobilenetv2,bell cote,36
buildings,mobilenetv2,monastery,27
buildings,mobilenetv2,mobile home,25
buildings,mobilenetv2,lakeside,20
buildings,mobilenetv2,cinema,17
buildings,mobilenetv2,solar dish,16
buildings,mobilenetv2,boathouse,14
buildings,mobilenetv2,pier,13
buildings,mobilenetv2,planetarium,11
buildings,mobilenetv2,prison,11
buildings,mobilenetv2,library,10
buildings,mobilenetv2,airship,8
buildings,mobilenetv2,castle,8
buildings,mobilenetv2,church,8
buildings,mobilenetv2,streetcar,8
buildings,mobilenetv2,beacon,7
buildings,mobilenetv2,drilling platform,7
buildings,mobilenetv2,scoreboard,7
buildings,mobilenetv2,seashore,7
buildings,mobilenetv2,liner,6
buildings,mobilenetv2,street sign,6
buildings,mobilenetv2,tile roof,6
buildings,mobilenetv2,cab,5
buildings,mobilenetv2,obelisk,5
buildings,mobilenetv2,patio,5
buildings,mobilenetv2,container ship,4
buildings,mobilenetv2,crane,4
buildings,mobilenetv2,dome,4
buildings,mobilenetv2,flagpole,4
buildings,mobilenetv2,barn,3
buildings,mobilenetv2,greenhouse,3
buildings,mobilenetv2,lumbermill,3
buildings,mobilenetv2,moving van,3
buildings,mobilenetv2,radiator,3
buildings,mobilenetv2,steel arch bridge,3
buildings,mobilenetv2,thatch,3
buildings,mobilenetv2,traffic light,3
buildings,mobilenetv2,triumphal arch,3
buildings,mobilenetv2,water tower,3
buildings,mobilenetv2,worm fence,3
buildings,mobilenetv2,bannister,2
buildings,mobilenetv2,dock,2
buildings,mobilenetv2,fireboat,2
buildings,mobilenetv2,fountain,2
buildings,mobilenetv2,gondola,2
buildings,mobilenetv2,jinrikisha,2
buildings,mobilenetv2,limousine,2
buildings,mobilenetv2,mosque,2
buildings,mobilenetv2,organ,2
buildings,mobilenetv2,snowplow,2
buildings,mobilenetv2,tobacco shop,2
buildings,mobilenetv2,vault,2
buildings,mobilenetv2,window shade,2
buildings,mobilenetv2,aircraft carrier,1
buildings,mobilenetv2,analog clock,1
buildings,mobilenetv2,breakwater,1
buildings,mobilenetv2,carpenter's kit,1
buildings,mobilenetv2,chime,1
buildings,mobilenetv2,comic book,1
buildings,mobilenetv2,crate,1
buildings,mobilenetv2,dam,1
buildings,mobilenetv2,fire engine,1
buildings,mobilenetv2,forklift,1
buildings,mobilenetv2,freight car,1
buildings,mobilenetv2,grocery store,1
buildings,mobilenetv2,jigsaw puzzle,1
buildings,mobilenetv2,lab coat,1
buildings,mobilenetv2,lifeboat,1
buildings,mobilenetv2,maze,1
buildings,mobilenetv2,megalith,1
buildings,mobilenetv2,minivan,1
buildings,mobilenetv2,motor scooter,1
buildings,mobilenetv2,notebook,1
buildings,mobilenetv2,paddlewheel,1
buildings,mobilenetv2,park bench,1
buildings,mobilenetv2,passenger car,1
buildings,mobilenetv2,pedestal,1
buildings,mobilenetv2,picket fence,1
buildings,mobilenetv2,pole,1
buildings,mobilenetv2,police van,1
buildings,mobilenetv2,radio telescope,1
buildings,mobilenetv2,recreational vehicle,1
buildings,mobilenetv2,school bus,1
buildings,mobilenetv2,shopping basket,1
buildings,mobilenetv2,shower curtain,1
buildings,mobilenetv2,sliding door,1
buildings,mobilenetv2,slot,1
buildings,mobilenetv2,space heater,1
buildings,mobilenetv2,stretcher,1
buildings,mobilenetv2,submarine,1
buildings,mobilenetv2,suspension bridge,1
buildings,mobilenetv2,theater curtain,1
buildings,mobilenetv2,tow truck,1
buildings,mobilenetv2,trolleybus,1
buildings,mobilenetv2,turnstile,1
buildings,mobilenetv2,unicycle,1
buildings,mobilenetv2,web site,1
buildings,mobilenetv2,window screen,1
buildings,mobilenetv2,wing,1
buildings,mobilenetv2,yurt,1
buildings,resnet18,palace,74
buildings,resnet18,bell cote,38
buildings,resnet18,monastery,26
buildings,resnet18,mobile home,25
buildings,resnet18,prison,21
buildings,resnet18,boathouse,20
buildings,resnet18,cinema,20
buildings,resnet18,solar dish,19
buildings,resnet18,planetarium,17
buildings,resnet18,castle,14
buildings,resnet18,church,12
buildings,resnet18,lakeside,11
buildings,resnet18,dome,8
buildings,resnet18,library,8
buildings,resnet18,patio,8
buildings,resnet18,scoreboard,7
buildings,resnet18,airship,6
buildings,resnet18,cab,6
buildings,resnet18,obelisk,6
buildings,resnet18,beacon,5
buildings,resnet18,dam,5
buildings,resnet18,picket fence,5
buildings,resnet18,pier,5
buildings,resnet18,seashore,5
buildings,resnet18,crane,4
buildings,resnet18,fountain,4
buildings,resnet18,maze,4
buildings,resnet18,streetcar,4
buildings,resnet18,thatch,4
buildings,resnet18,traffic light,4
buildings,resnet18,aircraft carrier,3
buildings,resnet18,drilling platform,3
buildings,resnet18,flagpole,3
buildings,resnet18,lumbermill,3
buildings,resnet18,mosque,3
buildings,resnet18,pedestal,3
buildings,resnet18,restaurant,3
buildings,resnet18,steel arch bridge,3
buildings,resnet18,street sign,3
buildings,resnet18,trolleybus,3
buildings,resnet18,barn,2
buildings,resnet18,container ship,2
buildings,resnet18,fireboat,2
buildings,resnet18,moving van,2
buildings,resnet18,organ,2
buildings,resnet18,passenger car,2
buildings,resnet18,shopping cart,2
buildings,resnet18,snowplow,2
buildings,resnet18,space heater,2
buildings,resnet18,tile roof,2
buildings,resnet18,tobacco shop,2
buildings,resnet18,triumphal arch,2
buildings,resnet18,turnstile,2
buildings,resnet18,water tower,2
buildings,resnet18,window screen,2
buildings,resnet18,window shade,2
buildings,resnet18,worm fence,2
buildings,resnet18,Model T,1
buildings,resnet18,bannister,1
buildings,resnet18,barbershop,1
buildings,resnet18,barrel,1
buildings,resnet18,canoe,1
buildings,resnet18,chime,1
buildings,resnet18,convertible,1
buildings,resnet18,dock,1
buildings,resnet18,doormat,1
buildings,resnet18,ear,1
buildings,resnet18,electric fan,1
buildings,resnet18,fire engine,1
buildings,resnet18,folding chair,1
buildings,resnet18,freight car,1
buildings,resnet18,gondola,1
buildings,resnet18,greenhouse,1
buildings,resnet18,guillotine,1
buildings,resnet18,hamper,1
buildings,resnet18,jigsaw puzzle,1
buildings,resnet18,lab coat,1
buildings,resnet18,microphone,1
buildings,resnet18,minivan,1
buildings,resnet18,monitor,1
buildings,resnet18,oil filter,1
buildings,resnet18,park bench,1
buildings,resnet18,pole,1
buildings,resnet18,schooner,1
buildings,resnet18,screen,1
buildings,resnet18,screwdriver,1
buildings,resnet18,sliding door,1
buildings,resnet18,space shuttle,1
buildings,resnet18,stage,1
buildings,resnet18,steam locomotive,1
buildings,resnet18,stone wall,1
buildings,resnet18,studio couch,1
buildings,resnet18,submarine,1
buildings,resnet18,suit,1
buildings,resnet18,valley,1
buildings,resnet18,viaduct,1
buildings,resnet18,wing,1
buildings,resnet18,wreck,1
buildings,vgg16,palace,75
buildings,vgg16,mobile home,28
buildings,vgg16,bell cote,26
buildings,vgg16,boathouse,24
buildings,vgg16,cinema,22
buildings,vgg16,monastery,21
buildings,vgg16,solar dish,15
buildings,vgg16,planetarium,13
buildings,vgg16,lakeside,12
buildings,vgg16,pier,12
buildings,vgg16,streetcar,12
buildings,vgg16,cab,10
buildings,vgg16,castle,10
buildings,vgg16,church,10
buildings,vgg16,liner,9
buildings,vgg16,patio,9
buildings,vgg16,obelisk,8
buildings,vgg16,prison,8
buildings,vgg16,library,7
buildings,vgg16,drilling platform,6
buildings,vgg16,steel arch bridge,6
buildings,vgg16,thatch,6
buildings,vgg16,traffic light,6
buildings,vgg16,triumphal arch,6
buildings,vgg16,fireboat,5
buildings,vgg16,flagpole,5
buildings,vgg16,picket fence,5
buildings,vgg16,scoreboard,5
buildings,vgg16,water tower,5
