thesis_class,model_name,label,count
buildings,mobilenetv2,palace,197
buildings,mobilenetv2,bell cote,162
buildings,mobilenetv2,monastery,133
buildings,mobilenetv2,lakeside,73
buildings,mobilenetv2,boathouse,72
buildings,mobilenetv2,church,71
buildings,mobilenetv2,library,71
buildings,mobilenetv2,solar dish,68
buildings,mobilenetv2,mobile home,63
buildings,mobilenetv2,cinema,61
buildings,mobilenetv2,castle,56
buildings,mobilenetv2,flagpole,53
buildings,mobilenetv2,prison,53
buildings,mobilenetv2,pier,52
buildings,mobilenetv2,mosque,48
buildings,mobilenetv2,beacon,44
buildings,mobilenetv2,obelisk,42
buildings,mobilenetv2,seashore,41
buildings,mobilenetv2,crane,37
buildings,mobilenetv2,airship,35
buildings,mobilenetv2,street sign,34
buildings,mobilenetv2,triumphal arch,33
buildings,mobilenetv2,dome,30
buildings,mobilenetv2,planetarium,30
buildings,mobilenetv2,scoreboard,30
buildings,mobilenetv2,steel arch bridge,30
buildings,mobilenetv2,streetcar,26
buildings,mobilenetv2,gondola,25
buildings,mobilenetv2,patio,25
buildings,mobilenetv2,worm fence,24
buildings,mobilenetv2,barn,21
buildings,mobilenetv2,picket fence,21
buildings,mobilenetv2,thatch,20
buildings,mobilenetv2,drilling platform,19
buildings,mobilenetv2,tile roof,18
buildings,mobilenetv2,trolleybus,18
buildings,mobilenetv2,liner,17
buildings,mobilenetv2,water tower,17
buildings,mobilenetv2,cab,16
buildings,mobilenetv2,vault,16
buildings,mobilenetv2,fireboat,15
buildings,mobilenetv2,traffic light,15
buildings,mobilenetv2,container ship,14
buildings,mobilenetv2,lumbermill,14
buildings,mobilenetv2,alp,13
buildings,mobilenetv2,window shade,13
buildings,mobilenetv2,dock,12
buildings,mobilenetv2,fountain,12
buildings,mobilenetv2,greenhouse,12
buildings,mobilenetv2,moving van,12
buildings,mobilenetv2,tobacco shop,12
buildings,mobilenetv2,window screen,12
buildings,mobilenetv2,bannister,11
buildings,mobilenetv2,restaurant,11
buildings,mobilenetv2,dam,10
buildings,mobilenetv2,pedestal,10
buildings,mobilenetv2,recreational vehicle,10
buildings,mobilenetv2,suspension bridge,10
buildings,mobilenetv2,balloon,9
buildings,mobilenetv2,organ,9
buildings,mobilenetv2,pole,9
buildings,mobilenetv2,crate,8
buildings,mobilenetv2,jinrikisha,8
buildings,mobilenetv2,limousine,8
buildings,mobilenetv2,breakwater,7
buildings,mobilenetv2,radio telescope,7
buildings,mobilenetv2,amphibian,6
buildings,mobilenetv2,bookshop,6
buildings,mobilenetv2,freight car,6
buildings,mobilenetv2,monitor,6
buildings,mobilenetv2,radiator,6
buildings,mobilenetv2,schooner,6
buildings,mobilenetv2,trailer truck,6
buildings,mobilenetv2,convertible,5
buildings,mobilenetv2,garbage truck,5
buildings,mobilenetv2,maze,5
buildings,mobilenetv2,minibus,5
buildings,mobilenetv2,passenger car,5
buildings,mobilenetv2,promontory,5
buildings,mobilenetv2,submarine,5
buildings,mobilenetv2,sundial,5
buildings,mobilenetv2,viaduct,5
buildings,mobilenetv2,aircraft carrier,4
buildings,mobilenetv2,ambulance,4
buildings,mobilenetv2,bookcase,4
buildings,mobilenetv2,bullet train,4
buildings,mobilenetv2,fire engine,4
buildings,mobilenetv2,paddlewheel,4
buildings,mobilenetv2,park bench,4
buildings,mobilenetv2,shopping basket,4
buildings,mobilenetv2,snowplow,4
buildings,mobilenetv2,altar,3
buildings,mobilenetv2,analog clock,3
buildings,mobilenetv2,chime,3
buildings,mobilenetv2,electric locomotive,3
buildings,mobilenetv2,jigsaw puzzle,3
buildings,mobilenetv2,minivan,3
buildings,mobilenetv2,missile,3
buildings,mobilenetv2,police van,3
buildings,mobilenetv2,shopping cart,3
buildings,mobilenetv2,stone wall,3
buildings,mobilenetv2,tow truck,3
buildings,mobilenetv2,trimaran,3
buildings,mobilenetv2,turnstile,3
buildings,mobilenetv2,yurt,3
buildings,mobilenetv2,airliner,2
buildings,mobilenetv2,barbershop,2
buildings,mobilenetv2,cassette,2
buildings,mobilenetv2,chainlink fence,2
buildings,mobilenetv2,coil,2
buildings,mobilenetv2,desk,2
buildings,mobilenetv2,forklift,2
buildings,mobilenetv2,four-poster,2
buildings,mobilenetv2,grocery store,2
buildings,mobilenetv2,guillotine,2
buildings,mobilenetv2,half track,2
buildings,mobilenetv2,harvester,2
buildings,mobilenetv2,horse cart,2
buildings,mobilenetv2,lifeboat,2
buildings,mobilenetv2,maypole,2
buildings,mobilenetv2,medicine chest,2
buildings,mobilenetv2,megalith,2
buildings,mobilenetv2,motor scooter,2
buildings,mobilenetv2,parachute,2
buildings,mobilenetv2,pot,2
buildings,mobilenetv2,projectile,2
buildings,mobilenetv2,racer,2
buildings,mobilenetv2,radio,2
buildings,mobilenetv2,school bus,2
buildings,mobilenetv2,shoji,2
buildings,mobilenetv2,shower curtain,2
buildings,mobilenetv2,sliding door,2
buildings,mobilenetv2,space heater,2
buildings,mobilenetv2,sports car,2
buildings,mobilenetv2,stupa,2
buildings,mobilenetv2,swab,2
buildings,mobilenetv2,television,2
buildings,mobilenetv2,theater curtain,2
buildings,mobilenetv2,unicycle,2
buildings,mobilenetv2,valley,2
buildings,mobilenetv2,vending machine,2
buildings,mobilenetv2,wing,2
buildings,mobilenetv2,Model T,1
buildings,mobilenetv2,abacus,1
buildings,mobilenetv2,abaya,1
buildings,mobilenetv2,academic gown,1
buildings,mobilenetv2,acoustic guitar,1
buildings,mobilenetv2,apiary,1
buildings,mobilenetv2,barber chair,1
buildings,mobilenetv2,barrel,1
buildings,mobilenetv2,beer bottle,1
buildings,mobilenetv2,bicycle-built-for-two,1
buildings,mobilenetv2,binder,1
buildings,mobilenetv2,binoculars,1
buildings,mobilenetv2,birdhouse,1
buildings,mobilenetv2,bobsled,1
buildings,mobilenetv2,candle,1
buildings,mobilenetv2,canoe,1
buildings,mobilenetv2,car mirror,1
buildings,mobilenetv2,carousel,1
buildings,mobilenetv2,carpenter's kit,1
buildings,mobilenetv2,catamaran,1
buildings,mobilenetv2,cliff,1
buildings,mobilenetv2,comic book,1
buildings,mobilenetv2,crutch,1
buildings,mobilenetv2,desktop computer,1
buildings,mobilenetv2,electric fan,1
buildings,mobilenetv2,entertainment center,1
buildings,mobilenetv2,file,1
buildings,mobilenetv2,fire screen,1
buildings,mobilenetv2,folding chair,1
buildings,mobilenetv2,gas pump,1
buildings,mobilenetv2,golf ball,1
buildings,mobilenetv2,golfcart,1
buildings,mobilenetv2,grille,1
buildings,mobilenetv2,hamper,1
buildings,mobilenetv2,hand-held computer,1
buildings,mobilenetv2,harp,1
buildings,mobilenetv2,lab coat,1
buildings,mobilenetv2,lampshade,1
buildings,mobilenetv2,manhole cover,1
buildings,mobilenetv2,marimba,1
buildings,mobilenetv2,moped,1
buildings,mobilenetv2,mortarboard,1
buildings,mobilenetv2,mosquito net,1
buildings,mobilenetv2,nail,1
buildings,mobilenetv2,notebook,1
buildings,mobilenetv2,perfume,1
buildings,mobilenetv2,quill,1
buildings,mobilenetv2,rain barrel,1
buildings,mobilenetv2,rocking chair,1
buildings,mobilenetv2,safety pin,1
buildings,mobilenetv2,screw,1
buildings,mobilenetv2,screwdriver,1
buildings,mobilenetv2,shoe shop,1
buildings,mobilenetv2,shovel,1
buildings,mobilenetv2,slot,1
buildings,mobilenetv2,snowmobile,1
buildings,mobilenetv2,space bar,1
buildings,mobilenetv2,space shuttle,1
buildings,mobilenetv2,speedboat,1
buildings,mobilenetv2,stage,1
buildings,mobilenetv2,stretcher,1
buildings,mobilenetv2,studio couch,1
buildings,mobilenetv2,swing,1
buildings,mobilenetv2,syringe,1
buildings,mobilenetv2,tank,1
buildings,mobilenetv2,thresher,1
buildings,mobilenetv2,torch,1
buildings,mobilenetv2,totem pole,1
buildings,mobilenetv2,tractor,1
buildings,mobilenetv2,tripod,1
buildings,mobilenetv2,tub,1
buildings,mobilenetv2,vestment,1
buildings,mobilenetv2,wall clock,1
buildings,mobilenetv2,wardrobe,1
buildings,mobilenetv2,web site,1
buildings,mobilenetv2,yawl,1
buildings,resnet18,palace,180
buildings,resnet18,bell cote,159
buildings,resnet18,monastery,139
buildings,resnet18,church,101
buildings,resnet18,prison,86
buildings,resnet18,boathouse,73
buildings,resnet18,solar dish,71
buildings,resnet18,castle,70
buildings,resnet18,cinema,68
buildings,resnet18,lakeside,67
buildings,resnet18,mobile home,67
buildings,resnet18,library,54
buildings,resnet18,planetarium,49
buildings,resnet18,patio,46
buildings,resnet18,dome,43
buildings,resnet18,flagpole,36
buildings,resnet18,mosque,35
buildings,resnet18,pier,34
buildings,resnet18,triumphal arch,34
buildings,resnet18,obelisk,31
buildings,resnet18,worm fence,31
buildings,resnet18,picket fence,29
buildings,resnet18,cab,28
buildings,resnet18,fountain,27
buildings,resnet18,scoreboard,27
buildings,resnet18,thatch,27
buildings,resnet18,barn,26
buildings,resnet18,beacon,25
buildings,resnet18,street sign,25
buildings,resnet18,airship,22
buildings,resnet18,pedestal,22
buildings,resnet18,traffic light,22
buildings,resnet18,seashore,21
buildings,resnet18,steel arch bridge,21
buildings,resnet18,crane,19
buildings,resnet18,dam,18
buildings,resnet18,restaurant,17
buildings,resnet18,streetcar,17
buildings,resnet18,tile roof,17
buildings,resnet18,trolleybus,17
buildings,resnet18,window screen,17
buildings,resnet18,dock,16
buildings,resnet18,tobacco shop,16
buildings,resnet18,fireboat,14
buildings,resnet18,water tower,14
buildings,resnet18,drilling platform,13
buildings,resnet18,limousine,13
buildings,resnet18,container ship,12
buildings,resnet18,gondola,11
buildings,resnet18,vault,11
buildings,resnet18,viaduct,11
buildings,resnet18,window shade,11
buildings,resnet18,moving van,10
buildings,resnet18,passenger car,10
buildings,resnet18,suspension bridge,10
buildings,resnet18,radio telescope,9
buildings,resnet18,space heater,9
buildings,resnet18,bookshop,8
buildings,resnet18,freight car,8
buildings,resnet18,lumbermill,8
buildings,resnet18,maze,8
buildings,resnet18,trailer truck,8
buildings,resnet18,alp,7
buildings,resnet18,bannister,7
buildings,resnet18,pole,7
buildings,resnet18,submarine,7
buildings,resnet18,aircraft carrier,6
buildings,resnet18,breakwater,6
buildings,resnet18,crate,6
buildings,resnet18,greenhouse,6
buildings,resnet18,liner,6
buildings,resnet18,turnstile,6
buildings,resnet18,hamper,5
buildings,resnet18,missile,5
buildings,resnet18,park bench,5
buildings,resnet18,recreational vehicle,5
buildings,resnet18,sliding door,5
buildings,resnet18,trimaran,5
buildings,resnet18,valley,5
buildings,resnet18,barbershop,4
buildings,resnet18,coil,4
buildings,resnet18,convertible,4
buildings,resnet18,electric fan,4
buildings,resnet18,minivan,4
buildings,resnet18,monitor,4
buildings,resnet18,projectile,4
buildings,resnet18,radiator,4
buildings,resnet18,rain barrel,4
buildings,resnet18,snowplow,4
buildings,resnet18,space shuttle,4
buildings,resnet18,stage,4
buildings,resnet18,apiary,3
buildings,resnet18,beach wagon,3
buildings,resnet18,birdhouse,3
buildings,resnet18,bookcase,3
buildings,resnet18,fire engine,3
buildings,resnet18,garbage truck,3
buildings,resnet18,golfcart,3
buildings,resnet18,grocery store,3
buildings,resnet18,jigsaw puzzle,3
buildings,resnet18,maypole,3
buildings,resnet18,paddlewheel,3
buildings,resnet18,shopping basket,3
buildings,resnet18,spotlight,3
buildings,resnet18,stupa,3
buildings,resnet18,volcano,3
buildings,resnet18,wing,3
buildings,resnet18,Model T,2
buildings,resnet18,altar,2
buildings,resnet18,amphibian,2
buildings,resnet18,analog clock,2
buildings,resnet18,book jacket,2
buildings,resnet18,bullet train,2
buildings,resnet18,carousel,2
buildings,resnet18,carpenter's kit,2
buildings,resnet18,cliff,2
buildings,resnet18,doormat,2
buildings,resnet18,entertainment center,2
buildings,resnet18,four-poster,2
buildings,resnet18,grille,2
buildings,resnet18,horse cart,2
buildings,resnet18,jinrikisha,2
buildings,resnet18,loudspeaker,2
buildings,resnet18,marimba,2
buildings,resnet18,microphone,2
buildings,resnet18,minibus,2
buildings,resnet18,organ,2
buildings,resnet18,panpipe,2
buildings,resnet18,police van,2
buildings,resnet18,prayer rug,2
buildings,resnet18,radio,2
buildings,resnet18,screwdriver,2
buildings,resnet18,shopping cart,2
buildings,resnet18,steam locomotive,2
buildings,resnet18,stone wall,2
buildings,resnet18,theater curtain,2
buildings,resnet18,totem pole,2
buildings,resnet18,tow truck,2
buildings,resnet18,tub,2
buildings,resnet18,umbrella,2
buildings,resnet18,vending machine,2
buildings,resnet18,Windsor tie,1
buildings,resnet18,abaya,1
buildings,resnet18,academic gown,1
buildings,resnet18,airliner,1
buildings,resnet18,ashcan,1
buildings,resnet18,bakery,1
buildings,resnet18,balloon,1
buildings,resnet18,barrel,1
buildings,resnet18,bathtub,1
buildings,resnet18,bearskin,1
buildings,resnet18,brass,1
buildings,resnet18,can opener,1
buildings,resnet18,candle,1
buildings,resnet18,cannon,1
buildings,resnet18,canoe,1
